practice_code,category_code,category_name,name,memo,source_type,source_ref,source_url,status,version,tenantId,createdBy,updatedBy,visibility,ownerType,owner
PR-IN-0001,IN,室内遊び,大きな紙を共有して友だちと表現・製作遊び,つなげた大きな紙を床に広げ、クレヨン等で自由に描く。素材を中央に置いた製作コーナーも用意し、テープや空き箱で共同作業や刺激し合う関わりを促す。,internal,,https://dev.hoiku360.jp/,active,1,,,,public,system,
PR-IN-0002,IN,室内遊び,絵具パレット共有のフィンガーペインティング遊び,2～3人で絵具パレットを共有し、指や手のひらで自由に描いて感触を楽しむ。色の混ざりから表現が広がり、雨や傘などのテーマにも発展。席やグループを自由に選べる設定で友だち同士のつながりを促す。,internal,,https://dev.hoiku360.jp/,active,1,,,,public,system,
PR-IN-0003,IN,室内遊び,給食の汁物配膳に挑戦して当番活動,汁物を自分でよそう体験を、水で練習してから本番へ。量の見通しや静かに運ぶ注意点を共有し、こぼしても責めずに認める。仕事の内容は子ども同士で話し合い、意欲的に当番へ参加させる。,internal,,https://dev.hoiku360.jp/,active,1,,,,public,system,
PR-IN-0004,IN,室内遊び,製作・手先遊びコーナーで室内じっくり遊び,ビーズ・粘土・塗り絵など遊び別にコーナーを設け、材料を多めに用意して集中できる環境を整える。段ボール製作は広いスペースで友だちと協力するきっかけを作り、落ち着いて遊び込めるよう支援する。,internal,,https://dev.hoiku360.jp/,active,1,,,,public,system,
PR-IN-0005,IN,室内遊び,話し合い活動で友だちの気持ちに気づく,パペット等で言い合い場面を示し、どうしたらよいか考えてからグループ名決めを話し合う。譲り合いや順番を褒め、意見が出にくい子にはさりげなく促す。互いの良さも紹介し交流を深める。,internal,,https://dev.hoiku360.jp/,active,1,,,,public,system,
PR-IN-0006,IN,室内遊び,音楽に合わせてみんなで歌って動く表現遊び,ピアノやCDの曲に合わせ、歌ったり体を動かしたりして集団で表現を楽しむ。親しみのある歌や歌遊びを取り入れ、保育士も一緒にのびのび表現して場を盛り上げる。室内の簡単なゲームで発散も促す。,internal,,https://dev.hoiku360.jp/,active,1,,,,public,system,
PR-IN-0007,IN,室内遊び,親子お話会で絵本・紙芝居の世界を楽しむ,親子で絵本や大型紙芝居の読み聞かせを聞き、お話の世界に浸る機会をつくる。地域の読み聞かせボランティア等も招き、パネルシアターの問いかけで親子の会話が広がるよう支援する。年3回程度実施。,internal,,https://dev.hoiku360.jp/,active,1,,,,public,system,
PR-IN-0008,IN,室内遊び,園内安全ツアーで危険箇所を見つけて学ぶ,写真や視聴覚教材で危険場面を話し合い、園内を実際に回って安全な過ごし方を確認する。意見はホワイトボードに書き出して認め、はさみ・スロープ・テラス等で「なぜ危険か／どうすれば安全か」を繰り返し考える。年3回程度。,internal,,https://dev.hoiku360.jp/,active,1,,,,public,system,
PR-IN-0009,IN,室内遊び,保護者メッセージカードで喜びを共有し手紙遊びへ,クリスマス会で保護者から預かったメッセージカードを一人ずつ丁寧に渡し、嬉しい気持ちを共有する（自分で読みたい子にはそっと渡す）。その後は「お手紙コーナー」を設け、折り紙や画用紙で手紙のやり取りや制作を自由に楽しめるよう支援する。,internal,,https://dev.hoiku360.jp/,active,1,,,,public,system,
PR-IN-0010,IN,室内遊び,卒園児へ「ありがとうコーナー」壁面づくり,卒園する5歳児へ感謝を伝える「ありがとうコーナー」を作る。ロール紙にスタンプで飾り、4・5歳児が描いた絵を切って貼る。メッセージは保育士が聞き取り文字化し、階段踊り場など目につく場所へ掲示して気持ちを届ける。,internal,,https://dev.hoiku360.jp/,active,1,,,,public,system,
