planPhraseId,planPeriodType,domainCode,domain,ageYears,phraseNo,phraseType,phraseText,source,status,sortOrder,note
PLAN-REL-4-008,MONTH,21,人間関係,4,8,月のねらい,共同の遊具や用具を大切に使い、友達と一緒に使うことを知る。,保育所保育指針_3歳以上児_5領域_文例化初版,active,214008,
PLAN-REL-5-001,MONTH,21,人間関係,5,1,月のねらい,友達と共通の目的をもち、考えを出し合いながら遊びや活動を進める。,保育所保育指針_3歳以上児_5領域_文例化初版,active,215001,
PLAN-REL-5-002,MONTH,21,人間関係,5,2,月のねらい,自分の思いを伝えるとともに、友達の考えや気持ちを受け止めようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,215002,
PLAN-REL-5-003,MONTH,21,人間関係,5,3,月のねらい,友達と協力しながら活動を進め、やり遂げる喜びや達成感を味わう。,保育所保育指針_3歳以上児_5領域_文例化初版,active,215003,
PLAN-REL-5-004,MONTH,21,人間関係,5,4,月のねらい,集団生活の中で必要なきまりに気付き、自分たちで守ろうとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,215004,
PLAN-REL-5-005,MONTH,21,人間関係,5,5,月のねらい,友達のよさや役割に気付き、互いに認め合いながら活動する。,保育所保育指針_3歳以上児_5領域_文例化初版,active,215005,
PLAN-REL-5-006,MONTH,21,人間関係,5,6,月のねらい,思い通りにならない場面でも、友達と話し合ったり工夫したりして解決しようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,215006,
PLAN-REL-5-007,MONTH,21,人間関係,5,7,月のねらい,自分で考えて行動し、生活や遊びの中で年長児としての自信をもつ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,215007,
PLAN-REL-5-008,MONTH,21,人間関係,5,8,月のねらい,身近な人や地域の人との関わりを通して、人と関わる楽しさや役に立つ喜びを感じる。,保育所保育指針_3歳以上児_5領域_文例化初版,active,215008,
PLAN-ENV-3-001,MONTH,31,環境,3,1,月のねらい,身近な自然や物に興味をもち、見たり触れたりしながら遊ぶことを楽しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,313001,
PLAN-ENV-3-002,MONTH,31,環境,3,2,月のねらい,園庭や散歩先で見つけた草花、虫、石、木の実などに親しみ、保育士と一緒に発見を喜ぶ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,313002,
PLAN-ENV-3-003,MONTH,31,環境,3,3,月のねらい,身近な物や遊具に関わりながら、形、色、大きさ、感触の違いに気付く。,保育所保育指針_3歳以上児_5領域_文例化初版,active,313003,
PLAN-ENV-3-004,MONTH,31,環境,3,4,月のねらい,季節の自然に触れ、気温や草花、虫などの変化を感じる。,保育所保育指針_3歳以上児_5領域_文例化初版,active,313004,
PLAN-ENV-3-005,MONTH,31,環境,3,5,月のねらい,身近な動植物に親しみをもち、保育士と一緒に世話をしたり、大切にしようとしたりする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,313005,
PLAN-ENV-3-006,MONTH,31,環境,3,6,月のねらい,生活や遊びの中で、身近な物を使ったり片付けたりしながら、物を大切にする気持ちをもつ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,313006,
PLAN-ENV-3-007,MONTH,31,環境,3,7,月のねらい,絵本、表示、マークなどに興味をもち、保育士と一緒に見たり探したりすることを楽しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,313007,
PLAN-ENV-3-008,MONTH,31,環境,3,8,月のねらい,行事や季節の遊びに参加し、身近な文化や伝統に親しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,313008,
PLAN-ENV-4-001,MONTH,31,環境,4,1,月のねらい,身近な自然や事象に興味をもち、見つけたことや気付いたことを友達や保育士に伝えようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,314001,
PLAN-ENV-4-002,MONTH,31,環境,4,2,月のねらい,季節による自然や生活の変化に気付き、遊びや生活に取り入れることを楽しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,314002,
PLAN-ENV-4-003,MONTH,31,環境,4,3,月のねらい,身近な物の性質や仕組みに興味をもち、試したり比べたりしながら遊ぶ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,314003,
PLAN-ENV-4-004,MONTH,31,環境,4,4,月のねらい,草花や虫、小動物などに親しみをもち、世話や観察を通して生命を大切にしようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,314004,
PLAN-ENV-4-005,MONTH,31,環境,4,5,月のねらい,砂、水、土、木の実、葉などの自然物を使って、工夫して遊ぶことを楽しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,314005,
PLAN-ENV-4-006,MONTH,31,環境,4,6,月のねらい,数量、形、長さ、多さ、順番などに関心をもち、生活や遊びの中で気付いたり比べたりする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,314006,
PLAN-ENV-4-007,MONTH,31,環境,4,7,月のねらい,身近な標識、文字、数字、マークなどに興味をもち、生活の中で意味に気付こうとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,314007,
PLAN-ENV-4-008,MONTH,31,環境,4,8,月のねらい,地域の行事や季節の行事に親しみ、身近な文化や伝統に興味をもつ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,314008,
PLAN-ENV-5-001,MONTH,31,環境,5,1,月のねらい,身近な自然や社会の出来事に関心をもち、気付いたことを考えたり友達と伝え合ったりする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,315001,
PLAN-ENV-5-002,MONTH,31,環境,5,2,月のねらい,自然の変化や物の性質に興味をもち、予想したり試したりしながら遊びを深める。,保育所保育指針_3歳以上児_5領域_文例化初版,active,315002,
PLAN-ENV-5-003,MONTH,31,環境,5,3,月のねらい,身近な物や素材を使い、比べたり組み合わせたりしながら、自分なりに工夫して遊ぶ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,315003,
PLAN-ENV-5-004,MONTH,31,環境,5,4,月のねらい,動植物の成長や変化に関心をもち、世話や観察を通して生命の大切さに気付く。,保育所保育指針_3歳以上児_5領域_文例化初版,active,315004,
PLAN-ENV-5-005,MONTH,31,環境,5,5,月のねらい,数量、図形、文字、標識などに関心をもち、遊びや生活の中で必要に応じて使おうとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,315005,
PLAN-ENV-5-006,MONTH,31,環境,5,6,月のねらい,友達と考えを出し合いながら、試したことや発見したことを遊びや活動に取り入れる。,保育所保育指針_3歳以上児_5領域_文例化初版,active,315006,
PLAN-ENV-5-007,MONTH,31,環境,5,7,月のねらい,地域の施設、行事、働く人などに関心をもち、自分たちの生活とのつながりに気付く。,保育所保育指針_3歳以上児_5領域_文例化初版,active,315007,
PLAN-ENV-5-008,MONTH,31,環境,5,8,月のねらい,日本の伝統行事や文化、異なる文化に触れ、身近な社会への関心を広げる。,保育所保育指針_3歳以上児_5領域_文例化初版,active,315008,
PLAN-LANG-3-001,MONTH,41,言葉,3,1,月のねらい,保育士との安心できる関わりの中で、自分の思いやしてほしいことを言葉や表情で伝えようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,413001,
PLAN-LANG-3-002,MONTH,41,言葉,3,2,月のねらい,保育士や友達の言葉に親しみをもち、聞いたりまねて話したりすることを楽しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,413002,
PLAN-LANG-3-003,MONTH,41,言葉,3,3,月のねらい,生活や遊びの中で、あいさつや返事などの身近な言葉を使おうとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,413003,
PLAN-LANG-3-004,MONTH,41,言葉,3,4,月のねらい,見たこと、聞いたこと、感じたことを、自分なりの言葉で保育士に伝えようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,413004,
PLAN-LANG-3-005,MONTH,41,言葉,3,5,月のねらい,絵本や紙芝居に親しみ、保育士と一緒に言葉の響きや繰り返しを楽しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,413005,
PLAN-LANG-3-006,MONTH,41,言葉,3,6,月のねらい,友達との関わりの中で、貸して、入れて、待ってなど、生活に必要な言葉を使おうとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,413006,
PLAN-LANG-3-007,MONTH,41,言葉,3,7,月のねらい,保育士に気持ちを受け止められながら、うれしい、いやだ、困ったなどの思いを言葉にしようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,413007,
PLAN-LANG-3-008,MONTH,41,言葉,3,8,月のねらい,歌、手遊び、言葉遊びを通して、言葉のリズムや響きを楽しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,413008,
PLAN-LANG-4-001,MONTH,41,言葉,4,1,月のねらい,自分の経験したことや感じたことを、保育士や友達に言葉で伝えることを楽しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,414001,
PLAN-LANG-4-002,MONTH,41,言葉,4,2,月のねらい,友達の話に耳を傾け、相手の思いや考えに気付こうとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,414002,
PLAN-LANG-4-003,MONTH,41,言葉,4,3,月のねらい,遊びや生活の中で、必要な言葉を使いながら友達とやり取りする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,414003,
PLAN-LANG-4-004,MONTH,41,言葉,4,4,月のねらい,したいことや困っていることを言葉で伝え、保育士や友達と関わろうとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,414004,
PLAN-LANG-4-005,MONTH,41,言葉,4,5,月のねらい,絵本や物語に親しみ、登場人物の気持ちや話の展開を楽しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,414005,
PLAN-LANG-4-006,MONTH,41,言葉,4,6,月のねらい,言葉遊びや歌、リズムのある言葉に親しみ、言葉の面白さに気付く。,保育所保育指針_3歳以上児_5領域_文例化初版,active,414006,
PLAN-LANG-4-007,MONTH,41,言葉,4,7,月のねらい,生活の中で、文字、数字、マークなどに興味をもち、意味に気付こうとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,414007,
PLAN-LANG-4-008,MONTH,41,言葉,4,8,月のねらい,友達と相談したり、考えを伝え合ったりしながら、遊びを進める楽しさを味わう。,保育所保育指針_3歳以上児_5領域_文例化初版,active,414008,
PLAN-LANG-5-001,MONTH,41,言葉,5,1,月のねらい,自分の考えや経験を相手に分かるように話し、伝え合う喜びを味わう。,保育所保育指針_3歳以上児_5領域_文例化初版,active,415001,
PLAN-LANG-5-002,MONTH,41,言葉,5,2,月のねらい,友達の話を注意して聞き、相手の思いや考えを受け止めながら関わろうとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,415002,
PLAN-LANG-5-003,MONTH,41,言葉,5,3,月のねらい,友達と話し合いながら、遊びや活動の進め方を考えたり決めたりする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,415003,
PLAN-LANG-5-004,MONTH,41,言葉,5,4,月のねらい,生活や遊びの中で必要な言葉を使い、目的に応じて伝え方を工夫しようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,415004,
PLAN-LANG-5-005,MONTH,41,言葉,5,5,月のねらい,絵本や物語に親しみ、内容と自分の経験を結び付けたり、想像を広げたりする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,415005,
PLAN-LANG-5-006,MONTH,41,言葉,5,6,月のねらい,言葉の響き、リズム、新しい表現に関心をもち、自分でも使ってみようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,415006,
PLAN-LANG-5-007,MONTH,41,言葉,5,7,月のねらい,文字や記号を使って、思ったことや考えたことを伝える楽しさを味わう。,保育所保育指針_3歳以上児_5領域_文例化初版,active,415007,
PLAN-LANG-5-008,MONTH,41,言葉,5,8,月のねらい,友達と意見を出し合い、相手に分かるように説明したり、話をまとめたりしようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,415008,
PLAN-EXPR-3-001,MONTH,51,表現,3,1,月のねらい,身近な音、色、形、手触りなどに興味をもち、見たり触れたりすることを楽しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,513001,
PLAN-EXPR-3-002,MONTH,51,表現,3,2,月のねらい,保育士と一緒に歌ったり、手遊びをしたりしながら、音やリズムの楽しさを感じる。,保育所保育指針_3歳以上児_5領域_文例化初版,active,513002,
PLAN-EXPR-3-003,MONTH,51,表現,3,3,月のねらい,クレヨン、紙、粘土、絵の具などに親しみ、かいたり、つくったりすることを楽しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,513003,
PLAN-EXPR-3-004,MONTH,51,表現,3,4,月のねらい,感じたことや思ったことを、動き、表情、言葉、しぐさなどで自分なりに表そうとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,513004,
PLAN-EXPR-3-005,MONTH,51,表現,3,5,月のねらい,身近な素材を使って遊び、並べる、丸める、貼る、ちぎるなどの感触や動きを楽しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,513005,
PLAN-EXPR-3-006,MONTH,51,表現,3,6,月のねらい,保育士や友達と一緒に、見立て遊びやごっこ遊びを楽しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,513006,
PLAN-EXPR-3-007,MONTH,51,表現,3,7,月のねらい,自分でつくったものを保育士に見せたり、遊びに使ったりする喜びを感じる。,保育所保育指針_3歳以上児_5領域_文例化初版,active,513007,
PLAN-EXPR-3-008,MONTH,51,表現,3,8,月のねらい,自然の音や色、季節の美しさに触れ、感じたことを保育士と共有する。,保育所保育指針_3歳以上児_5領域_文例化初版,active,513008,
PLAN-EXPR-4-001,MONTH,51,表現,4,1,月のねらい,身近な自然や生活の中で感じたことを、言葉、動き、音、制作などで表現することを楽しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,514001,
PLAN-EXPR-4-002,MONTH,51,表現,4,2,月のねらい,歌を歌ったり、簡単なリズム楽器を使ったりして、音楽に親しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,514002,
PLAN-EXPR-4-003,MONTH,51,表現,4,3,月のねらい,いろいろな素材に触れ、組み合わせたり工夫したりしながらつくることを楽しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,514003,
PLAN-EXPR-4-004,MONTH,51,表現,4,4,月のねらい,自分のイメージをもって、かいたり、つくったり、飾ったりすることを楽しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,514004,
PLAN-EXPR-4-005,MONTH,51,表現,4,5,月のねらい,友達の表現に興味をもち、見たりまねたりしながら表現の幅を広げる。,保育所保育指針_3歳以上児_5領域_文例化初版,active,514005,
PLAN-EXPR-4-006,MONTH,51,表現,4,6,月のねらい,ごっこ遊びや劇遊びの中で、役になりきったり、言葉や動きで表したりする楽しさを味わう。,保育所保育指針_3歳以上児_5領域_文例化初版,active,514006,
PLAN-EXPR-4-007,MONTH,51,表現,4,7,月のねらい,感動したことや楽しかったことを、保育士や友達に伝えようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,514007,
PLAN-EXPR-4-008,MONTH,51,表現,4,8,月のねらい,季節の自然や行事に触れ、感じたことを制作や遊びに取り入れる。,保育所保育指針_3歳以上児_5領域_文例化初版,active,514008,
PLAN-EXPR-5-001,MONTH,51,表現,5,1,月のねらい,自分の感じたことや考えたことを、目的やイメージに合わせて表現することを楽しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,515001,
PLAN-EXPR-5-002,MONTH,51,表現,5,2,月のねらい,友達とイメージを共有しながら、制作、音楽、劇遊びなどを工夫して進める。,保育所保育指針_3歳以上児_5領域_文例化初版,active,515002,
PLAN-EXPR-5-003,MONTH,51,表現,5,3,月のねらい,様々な素材や用具の特徴を生かし、自分なりに考えてつくったり表したりする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,515003,
PLAN-EXPR-5-004,MONTH,51,表現,5,4,月のねらい,歌、リズム、楽器、身体表現などを通して、友達と一緒に表現する楽しさや達成感を味わう。,保育所保育指針_3歳以上児_5領域_文例化初版,active,515004,
PLAN-EXPR-5-005,MONTH,51,表現,5,5,月のねらい,物語や経験した出来事をもとに、役割や場面を考えながら演じることを楽しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,515005,
PLAN-EXPR-5-006,MONTH,51,表現,5,6,月のねらい,自分や友達の表現のよさに気付き、認め合いながら活動する。,保育所保育指針_3歳以上児_5領域_文例化初版,active,515006,
PLAN-EXPR-5-007,MONTH,51,表現,5,7,月のねらい,季節や行事、自然の美しさから感じたことを、制作や遊びに取り入れて表現する。,保育所保育指針_3歳以上児_5領域_文例化初版,active,515007,
PLAN-EXPR-5-008,MONTH,51,表現,5,8,月のねらい,つくったものを遊びに使ったり、飾ったり、発表したりして、表現する喜びを味わう。,保育所保育指針_3歳以上児_5領域_文例化初版,active,515008,
